Case Name,Case Number,Court,Judicial Officer,Date Filed,Case Type,Case Status,Plaintiff,Petitioner,Defendent,Compensation,Date Served,Path,Citations,Chronology
"Guy J. CARRIER and Jacquelyn Carrier, Plaintiffs, v. Tim JORDAAN and Aventure, Catamarans, Limited, Defendants",civil action cv208-068,"District Court, S.D. Georgia",Lisa G. Wood,"{'argued': '2008-10-17', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2542190/carrier-v-jordaan/,"['714 F. Supp. 2d 1204', '2008 U.S. Dist. LEXIS 114596', '2008 WL 7861308']",
"Robert Keith ABEL, Plaintiff, v. Harley LAPPIN, Director Federal Bureau of Prisons, Et Al., Defendants",civil action cv207-88,"District Court, S.D. Georgia",Anthony A. Alaimo,"{'argued': '2009-09-24', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2409732/abel-v-lappin/,"['661 F. Supp. 2d 1361', '2009 U.S. Dist. LEXIS 87987', '2009 WL 3055275']",
"William G. BOLES and Sandra R. Boles, Plaintiffs, v. U.S. DEPARTMENT OF the INTERIOR, Federal Fish & Wildlife Service, and Harris Neck Wildlife Refuge, Defendants",civil action cv207-87,"District Court, S.D. Georgia",Anthony A. Alaimo,"{'argued': '2008-06-09', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2531718/boles-v-us-department-of-the-interior/,"['558 F. Supp. 2d 1314', '2008 U.S. Dist. LEXIS 45242']",
"Ralph SMITH, Petitioner, v. Jose VAZQUEZ, Respondent",civil action cv206-275,"District Court, S.D. Georgia","Alaimo, Graham","{'argued': '2007-06-05', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2527291/smith-v-vazquez/,"['491 F. Supp. 2d 1165', '2007 U.S. Dist. LEXIS 40704', '2007 WL 1624645']",
"United States v. Robert James APPLING, pro se", 185-134 (in re cr182-41),"District Court, S.D. Georgia",Alaimo,"{'argued': '1985-08-12', 'reargued': None}",civ. a. ,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8899946/united-states-v-appling/,"['615 F. Supp. 387', '1985 U.S. Dist. LEXIS 16913']",
"AQUA LOG, INC., a Georgia Corporation, Plaintiff/Salvor, v. LOST AND ABANDONED PRE-CUT LOGS AND RAFTS OF LOGS Lying on the Bottom of a Navigable River Within One (1) Nautical Mile of a Point Located at 31° 38.939' North Latitude and 81° 47.650' West Longitude, in Rem Defendant. State of Georgia, Interested Party",civil action cv207-036,"District Court, S.D. Georgia",Lisa G. Wood,"{'argued': '2008-10-21', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2356620/aqua-log-inc-v-lost-abandoned-pre-cut-logs-rafts-of-logs/,"['584 F. Supp. 2d 1367', '2008 U.S. Dist. LEXIS 84429', '2008 WL 4657877']",
"Stuart PATRAY, Terry Patray, Plaintiffs, v. NORTHWEST PUBLISHING, INC., Et Al., Defendants",civil action 696-52,"District Court, S.D. Georgia",Edenfield,"{'argued': '1996-06-13', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2346581/patray-v-northwest-publishing-inc/,"['931 F. Supp. 865', '1996 U.S. Dist. LEXIS 8649']",
"Matthew WASHINGTON, Plaintiff, v. A.A. ALAIMO, Judge; Avant Edenfield, Chief Judge; Dudley H. Bowen, Jr., Judge; William T. Moore, Jr., Judge; W. Owens, Judge; James E. Graham, Magistrate Judge; C.W. Hicks, Jr., Magistrate Judge, Defendants",civil action cv695-104,"District Court, S.D. Georgia",Moore,"{'argued': '1996-05-17', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1955921/washington-v-alaimo/,"['934 F. Supp. 1395', '1996 U.S. Dist. LEXIS 11235', '1996 WL 449927']",
"Joel BEATTY, Plaintiff, v. UNITED STATES FOOD AND DRUG ADMINISTRATION and David A. Kessler, M.D., Commissioner of Food and Drug Administration, Defendants",civ. a. cv297-24,"District Court, S.D. Georgia",Alaimo,"{'argued': '1997-09-24', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2498964/beatty-v-united-states-food-drug-administration/,"['12 F. Supp. 2d 1339', '1997 U.S. Dist. LEXIS 22773', '1997 WL 913050']",
"Jonathan SMITH Streamline Logistics, LLC Betty Padgett B & L Express, Inc. John L. Darnell, Jr. Henry Edwards and Linda J. Fifield, individually and on behalf of others similarly situated v. GEORGIA ENERGY USA, LLC Georgia Petro USA, LLC Fairley Cisco Cisco Oil, Inc Cisco Travel Plaza, Inc. Cisco Travel Plaza, Inc. II United Fuel, Inc. Kuldeep S. Sekhon Althea Cisco Shave Tammy Cisco Walker Jack Ghazi Kingsland Management, LLC Kingsland Management II, LLC Georgia Petro II USA, LLC Biju Abraham and Global Energy USA, LLC", cv208-20,"District Court, S.D. Georgia",Alaimo,"{'argued': '2009-08-10', 'reargued': None}",civil action ,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8772627/smith-v-georgia-energy-usa-llc/,"['259 F.R.D. 684', '2009 U.S. Dist. LEXIS 69812', '2009 WL 2486896']",
Danielle J. CLARK v. J. Raymond CLARK, cv290-508,"District Court, S.D. Georgia",Alaimo,"{'argued': '1997-01-29', 'reargued': None}",civil action ,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8749029/clark-v-clark/,"['969 F. Supp. 1319', '1997 U.S. Dist. LEXIS 9410', '1997 WL 370851']",
"William T. IRWIN, Plaintiff, v. J. Michael QUINLAN, Et Al., Defendants",civ. a. 291-05,"District Court, S.D. Georgia",Alaimo,"{'argued': '1992-05-14', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1503269/irwin-v-quinlan/,"['791 F. Supp. 301', '1992 WL 105637']",
Duane R. OLSON v. Vic LOY, cv296-034,"District Court, S.D. Georgia",Alaimo,"{'argued': '1996-10-23', 'reargued': None}",civil action ,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8744271/olson-v-loy/,"['951 F. Supp. 225', '1996 U.S. Dist. LEXIS 19206', '1996 WL 738751']",
