Case Name,Location,JSON
Cook v. State,"https://scholar.google.com/scholar_case?case=10985174504770218899&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 6, 'title': 'Cook v. State', 'result_id': 'k6uBmAIuc5gJ', 'link': 'https://scholar.google.com/scholar_case?case=10985174504770218899&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… The Georgia Supreme Court has held that, whether a charge is … representing the opposing parties in a related civil action filed … Citation and punctuation omitted.) State v. Evans, 285 Ga …', 'publication_info': {'summary': '678 SE 2d 160, 297 Ga. App. 701 - Ga: Court of Appeals, 2009 - Google Scholar', 'authors': [{'name': '678 SE 2d 160'}, {'name': '297 Ga. App. 701'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=k6uBmAIuc5gJ', 'cited_by': {'total': 9, 'link': 'https://scholar.google.com/scholar?cites=10985174504770218899&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '10985174504770218899', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=10985174504770218899&engine=google_scholar&hl=en&num=20'}, 'versions': {'total': 3, 'link': 'https://scholar.google.com/scholar?cluster=10985174504770218899&hl=en&num=20&as_sdt=4,11', 'cluster_id': '10985174504770218899', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=4%2C11&cluster=10985174504770218899&engine=google_scholar&hl=en&num=20'}}}"
"Eckles v. Atlanta Technology Group, Inc.","https://scholar.google.com/scholar_case?case=15231426882772983006&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 2, 'title': 'Eckles v. Atlanta Technology Group, Inc.', 'result_id': '3twE4gzmYNMJ', 'link': 'https://scholar.google.com/scholar_case?case=15231426882772983006&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': ""… advance sheets and to those appeals filed in civil actions on … 52 (1981), overruled on other grounds, Wilson v. Zant, 249 Ga … factor which now must enter into a Georgia business owner's …"", 'publication_info': {'summary': '485 SE 2d 22, 267 Ga. 801 - Ga: Supreme Court, 1997 - Google Scholar', 'authors': [{'name': '485 SE 2d 22'}, {'name': '267 Ga. 801'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=3twE4gzmYNMJ', 'cited_by': {'total': 154, 'link': 'https://scholar.google.com/scholar?cites=15231426882772983006&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '15231426882772983006', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=15231426882772983006&engine=google_scholar&hl=en&num=20'}}}"
"Babalola v. HSBC BANK, USA, NA","https://scholar.google.com/scholar_case?case=5492454756702988045&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 3, 'title': 'Babalola v. HSBC BANK, USA, NA', 'result_id': 'DacvPoAeOUwJ', 'link': 'https://scholar.google.com/scholar_case?case=5492454756702988045&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… (b) Under Georgia law, ""a … claim, ""identify[ing] the ways in which the complaint fails to conform to the pleading requirements of the Civil Practice Act … See Cox Enterprises v. Nix, 273 Ga …', 'publication_info': {'summary': '751 SE 2d 545, 324 Ga. App. 750 - Ga: Court of Appeals, 2013 - Google Scholar', 'authors': [{'name': '751 SE 2d 545'}, {'name': '324 Ga. App. 750'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=DacvPoAeOUwJ', 'cited_by': {'total': 75, 'link': 'https://scholar.google.com/scholar?cites=5492454756702988045&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '5492454756702988045', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=5492454756702988045&engine=google_scholar&hl=en&num=20'}, 'versions': {'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=5492454756702988045&hl=en&num=20&as_sdt=4,11', 'cluster_id': '5492454756702988045', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=4%2C11&cluster=5492454756702988045&engine=google_scholar&hl=en&num=20'}}}"
Fullwood v. Sivley,"https://scholar.google.com/scholar_case?case=15698417663574351954&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 4, 'title': 'Fullwood v. Sivley', 'result_id': 'UiAR9bD729kJ', 'link': 'https://scholar.google.com/scholar_case?case=15698417663574351954&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': ""… Habeas corpus is a civil remedy, and the constitutional right to … the writ, evidenced by the fact that Georgia was one … this Court's principled pronouncement in Howard v. Sharpe, 266 Ga …"", 'publication_info': {'summary': '517 SE 2d 511, 271 Ga. 248 - Ga: Supreme Court, 1999 - Google Scholar', 'authors': [{'name': '517 SE 2d 511'}, {'name': '271 Ga. 248'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=UiAR9bD729kJ', 'cited_by': {'total': 71, 'link': 'https://scholar.google.com/scholar?cites=15698417663574351954&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '15698417663574351954', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=15698417663574351954&engine=google_scholar&hl=en&num=20'}}}"
Ross v. State,"https://scholar.google.com/scholar_case?case=4454650739371618723&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 2, 'title': 'Ross v. State', 'result_id': 'ozGt5j4Z0j0J', 'link': 'https://scholar.google.com/scholar_case?case=4454650739371618723&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': ""… also Hepner v. Southern R. Co., 182 Ga.App … rehearing en banc, involving Federal Rule of Civil Procedure 56 … We have no indication that Georgia's statutory proscription on possession of …"", 'publication_info': {'summary': '614 SE 2d 31, 279 Ga. 365 - Ga: Supreme Court, 2005 - Google Scholar', 'authors': [{'name': '614 SE 2d 31'}, {'name': '279 Ga. 365'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=ozGt5j4Z0j0J', 'cited_by': {'total': 65, 'link': 'https://scholar.google.com/scholar?cites=4454650739371618723&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '4454650739371618723', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=4454650739371618723&engine=google_scholar&hl=en&num=20'}}}"
"Dillingham v. Doctors Clinic, PA","https://scholar.google.com/scholar_case?case=14965191796160872689&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 6, 'title': 'Dillingham v. Doctors Clinic, PA', 'result_id': '8UDCTaYKr88J', 'link': 'https://scholar.google.com/scholar_case?case=14965191796160872689&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… Supreme Court of Georgia … consistently by this court since Martin v. Approved Bancredit Corp., 224 Ga … US 41 (1957); 5 Wright & Miller, Federal Practice and Procedure, Civil: § 1215, pp …', 'publication_info': {'summary': '223 SE 2d 625, 236 Ga. 302 - Ga: Supreme Court, 1976 - Google Scholar', 'authors': [{'name': '223 SE 2d 625'}, {'name': '236 Ga. 302'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=8UDCTaYKr88J', 'cited_by': {'total': 68, 'link': 'https://scholar.google.com/scholar?cites=14965191796160872689&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '14965191796160872689', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=14965191796160872689&engine=google_scholar&hl=en&num=20'}}}"
Balkcom v. State,"https://scholar.google.com/scholar_case?case=1236575655802858084&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 7, 'title': 'Balkcom v. State', 'result_id': 'ZGoG3gEzKREJ', 'link': 'https://scholar.google.com/scholar_case?case=1236575655802858084&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… Court of Appeals of Georgia … To hold, as the dissent suggests, would penalize neither civil nor criminal appellants for their own lack of diligence in pursuing their … Dick v. State, 248 Ga …', 'publication_info': {'summary': '489 SE 2d 129, 227 Ga. App. 327 - Ga: Court of Appeals, 1997 - Google Scholar', 'authors': [{'name': '489 SE 2d 129'}, {'name': '227 Ga. App. 327'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=ZGoG3gEzKREJ', 'cited_by': {'total': 127, 'link': 'https://scholar.google.com/scholar?cites=1236575655802858084&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '1236575655802858084', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=1236575655802858084&engine=google_scholar&hl=en&num=20'}}}"
"Cherry v. Coast House, Ltd.","https://scholar.google.com/scholar_case?case=10678378085253370667&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 8, 'title': 'Cherry v. Coast House, Ltd.', 'result_id': 'K9PXxEo4MZQJ', 'link': 'https://scholar.google.com/scholar_case?case=10678378085253370667&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… Supreme Court of Georgia … OCGA § 5-6-46 provides that a notice of appeal serves as a supersedeas in civil cases upon payment of all costs in the trial court … Cohran v. Carlin, 249 Ga …', 'publication_info': {'summary': '359 SE 2d 904, 257 Ga. 403 - Ga: Supreme Court, 1987 - Google Scholar', 'authors': [{'name': '359 SE 2d 904'}, {'name': '257 Ga. 403'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=K9PXxEo4MZQJ', 'cited_by': {'total': 48, 'link': 'https://scholar.google.com/scholar?cites=10678378085253370667&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '10678378085253370667', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=10678378085253370667&engine=google_scholar&hl=en&num=20'}}}"
Long v. Marion,"https://scholar.google.com/scholar_case?case=3978511103440481970&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 9, 'title': 'Long v. Marion', 'result_id': 'sm6E_8SCNjcJ', 'link': 'https://scholar.google.com/scholar_case?case=3978511103440481970&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… Supreme Court of Georgia … v. Teveit, 434 175 Ga … if Ferretti was not aware of the necessity of filing a pretrial statement or of the impact of the pretrial order, however, in a civil case the …', 'publication_info': {'summary': '360 SE 2d 255, 257 Ga. 431 - Ga: Supreme Court, 1987 - Google Scholar', 'authors': [{'name': '360 SE 2d 255'}, {'name': '257 Ga. 431'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=sm6E_8SCNjcJ', 'cited_by': {'total': 41, 'link': 'https://scholar.google.com/scholar?cites=3978511103440481970&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '3978511103440481970', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=3978511103440481970&engine=google_scholar&hl=en&num=20'}}}"
Jones v. Townsend,"https://scholar.google.com/scholar_case?case=3744689663164726364&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 10, 'title': 'Jones v. Townsend', 'result_id': 'XLwCj2jP9zMJ', 'link': 'https://scholar.google.com/scholar_case?case=3744689663164726364&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… Supreme Court of Georgia … be as provided in Code Section 5-6-35."" In the cases specified in OCGA § 5-6-35, and now in appeals of civil cases filed by … of Administrative Svcs., 265 Ga …', 'publication_info': {'summary': '480 SE 2d 24, 267 Ga. 489 - Ga: Supreme Court, 1997 - Google Scholar', 'authors': [{'name': '480 SE 2d 24'}, {'name': '267 Ga. 489'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=XLwCj2jP9zMJ', 'cited_by': {'total': 156, 'link': 'https://scholar.google.com/scholar?cites=3744689663164726364&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '3744689663164726364', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=3744689663164726364&engine=google_scholar&hl=en&num=20'}}}"
