Location,Case Number,Case Name,Court,Judicial Officer,Date Filed,Case Type,Case Status,Plaintiff,Petitioner,Defendent,Serve Date,Compensation,Pro Se Filer,Mean
0001-01.html,"(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(0.7693561315536499, 0.7693561315536499, 0.7693561315536499)","(0.31463244557380676, 0.21716716885566711, 0.25696834921836853)","(0.6048328876495361, 0.28231996297836304, 0.38495373725891113)","(0.5893555283546448, 0.2612850069999695, 0.36205601692199707)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(0.3990824818611145, 0.6714688539505005, 0.5006232261657715)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","['avg', 0.821327805519104, 0.7847384810447693, 0.7903046011924744]"
0005-01.html,"(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(0.5966777205467224, 0.4835623502731323, 0.5341977477073669)","(0.5902023315429688, 0.3248535096645355, 0.4190548360347748)","(0.3146321773529053, 0.21716707944869995, 0.256968230009079)","(0.6048329472541809, 0.2816951870918274, 0.3843725323677063)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(0.5125901699066162, 0.5692991018295288, 0.5394583940505981)","(0.3990824818611145, 0.6714688539505005, 0.5006232261657715)","(0.7693561315536499, 0.7693561315536499, 0.7693561315536499)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","['avg', 0.752875030040741, 0.7167233824729919, 0.7233871221542358]"
0006-01.html,"(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(0.6264839768409729, 0.6264839768409729, 0.6264839768409729)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(0.6956984400749207, 0.287011057138443, 0.40637266635894775)","(0.4582778811454773, 0.2200503945350647, 0.29733163118362427)","(0.6500277519226074, 0.2290264070034027, 0.3387129604816437)","(0.7573291063308716, 0.30084776878356934, 0.4306288957595825)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","['avg', 0.8606014251708984, 0.7433400750160217, 0.7768869996070862]"
0007-01.html,"(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(0.33887603878974915, 0.2506183981895447, 0.28814035654067993)","(0.22826777398586273, 0.14735378324985504, 0.1790957897901535)","(0.23877376317977905, 0.16340619325637817, 0.1940281242132187)","(0.381499707698822, 0.8005141615867615, 0.5167382955551147)","(0.534216046333313, 0.534216046333313, 0.534216046333313)","(0.7693561315536499, 0.7693561315536499, 0.7693561315536499)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","['avg', 0.7300761938095093, 0.7434973120689392, 0.7293519377708435]"
0013-01.html,"(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(0.7898931503295898, 0.45970726013183594, 0.5811771750450134)","(0.8040845394134521, 0.4448680579662323, 0.572818398475647)","(0.6238452792167664, 0.23843346536159515, 0.3450058102607727)","(0.6110166311264038, 0.5102589130401611, 0.556110680103302)","(0.21988290548324585, 0.36873289942741394, 0.2754872143268585)","(0.1596703827381134, 0.27082905173301697, 0.2008986473083496)","(0.6355602741241455, 0.3224959373474121, 0.4278780519962311)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","['avg', 0.7572273015975952, 0.6627175211906433, 0.6891829371452332]"
0015-01.html,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)","(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)","(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)","(0.6034693717956543, 0.37923410534858704, 0.4657685160636902)","(0.5252057313919067, 0.1966032087802887, 0.28610655665397644)","(0.2485135793685913, 0.18090352416038513, 0.20938608050346375)","(0.3395349085330963, 0.21893183887004852, 0.26621103286743164)","(0.37811630964279175, 0.555084764957428, 0.44982072710990906)","(0.667319655418396, 0.6570672392845154, 0.6621537804603577)","(0.15997391939163208, 0.27082911133766174, 0.20113876461982727)","(0.6738262176513672, 0.4493756592273712, 0.5391748547554016)","(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)","(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)","['avg', 0.6612276434898376, 0.6083098649978638, 0.6215200424194336]"
0017-01.html,"(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(0.8147438764572144, 0.8147438764572144, 0.8147438764572144)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(0.5930492281913757, 0.34927546977996826, 0.4396309554576874)","(0.33336758613586426, 0.2115010917186737, 0.25880587100982666)","(0.736631453037262, 0.15011999011039734, 0.24941173195838928)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","['avg', 0.8829071521759033, 0.809664785861969, 0.8278917670249939]"
0019-01.html,"(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(0.8110705614089966, 0.39128491282463074, 0.5278965830802917)","(0.6288334131240845, 0.31836313009262085, 0.42271557450294495)","(0.5359097719192505, 0.48648062348365784, 0.5100003480911255)","(0.39908239245414734, 0.6714687347412109, 0.5006231069564819)","(0.7693561315536499, 0.7693561315536499, 0.7693561315536499)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","['avg', 0.8572502136230469, 0.8182273507118225, 0.8254302144050598]"
0023-01.html,"(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(0.6815382838249207, 0.32542285323143005, 0.4405098259449005)","(0.40003207325935364, 0.2631824314594269, 0.31748828291893005)","(0.358765572309494, 0.1403323858976364, 0.20174969732761383)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(0.4682062864303589, 0.7530234456062317, 0.5774021148681641)","(0.4029492139816284, 0.42301374673843384, 0.41273778676986694)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","['avg', 0.79319167137146, 0.761921226978302, 0.765376091003418]"
0026-01.html,"(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(0.779866099357605, 0.779866099357605, 0.779866099357605)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(0.38384291529655457, 0.20507735013961792, 0.2673281729221344)","(0.620233416557312, 0.2147928774356842, 0.31908389925956726)","(0.6528385281562805, 0.16459940373897552, 0.26291128993034363)","(0.6905924081802368, 0.20461644232273102, 0.315695196390152)","(0.4682062864303589, 0.7530234456062317, 0.5774021148681641)","(0.19696936011314392, 0.2586929202079773, 0.22365063428878784)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","['avg', 0.7532730102539062, 0.6600514650344849, 0.6727645397186279]"
